DJI,SnP
33978.08,4070.56
33949.41,4060.43
33743.84,4016.22
33733.96,4016.95
33629.56,4019.81
33375.49,3972.61
33044.56,3898.85
33296.96,3928.86
33910.85,3990.97
34302.61,3999.09
34189.97,3983.17
33973.01,3969.61
33704.1,3919.25
33517.65,3892.09
33630.61,3895.08
32930.08,3808.1
33269.77,3852.97
33136.37,3824.14
33147.25,3839.5
33220.8,3849.28
32875.71,3783.22
33241.56,3829.25
33203.93,3844.82
33027.49,3822.39
33376.48,3878.44
32849.74,3821.62
32757.54,3817.66
32920.46,3852.36
33202.22,3895.75
33966.35,3995.32
34108.64,4019.65
34005.04,3990.56
33476.46,3934.38
33781.48,3963.51
33597.92,3933.92
33596.34,3941.26
33947.1,3998.84
34429.88,4071.7
34395.01,4076.57
34589.77,4080.11
33852.53,3957.63
33849.46,3963.94
34347.03,4026.12
34194.06,4027.26
34098.1,4003.58
33700.28,3949.94
33745.69,3965.34
33546.32,3946.56
33553.83,3958.79
33592.92,3991.73
33536.7,3957.25
33747.86,3992.93
33715.37,3956.37
32513.94,3748.57
33160.83,3828.11
32827.0,3806.8
32403.22,3770.55
32001.25,3719.89
32147.76,3759.69
32653.2,3856.1
32732.95,3871.98
32861.8,3901.06
32033.28,3807.3
31839.11,3830.6
31836.74,3859.11
31499.62,3797.34
31082.56,3752.75
30333.59,3665.78
30423.81,3695.16
30523.8,3719.98
30185.82,3677.95
29634.83,3583.07
30038.72,3669.91
29210.85,3577.03
29239.19,3588.84
29202.88,3612.39
29296.79,3639.66
29926.94,3744.52
30273.87,3783.28
30316.32,3790.93
29490.89,3678.43
28725.51,3585.62
29225.61,3640.47
29683.74,3719.04
29134.99,3647.29
29260.81,3655.04
29590.41,3693.23
30076.68,3757.99
30183.78,3789.93
30706.23,3855.93
31019.68,3899.89
30822.42,3873.33
30961.82,3901.35
31135.09,3946.01
31104.97,3932.69
32381.34,4110.41
32151.71,4067.36
31774.52,4006.18
31581.28,3979.87
31145.3,3908.19
31318.44,3924.26
31656.42,3966.85
31510.43,3955.0
31790.87,3986.16
32098.99,4030.61
32283.4,4057.66
33291.78,4199.12
32969.23,4140.77
32909.59,4128.73
33063.61,4137.99
33706.74,4228.48
33999.04,4283.74
33980.32,4274.04
34152.01,4305.2
33912.44,4297.14
33761.05,4280.15
33336.67,4207.27
33309.51,4210.24
32774.41,4122.47
32832.54,4140.06
32803.47,4145.19
32726.82,4151.94
32812.5,4155.17
32396.17,4091.19
32798.4,4118.63
32845.13,4130.29
32529.63,4072.43
32197.59,4023.61
31761.54,3921.05
31990.04,3966.84
31899.29,3961.63
32036.9,3998.95
31874.84,3959.9
31827.05,3936.69
31072.61,3830.85
31288.26,3863.16
30630.17,3790.38
30772.79,3801.78
30981.33,3818.8
31173.84,3854.43
31338.15,3899.38
31384.55,3902.62
31037.68,3845.08
30967.82,3831.39
31097.26,3825.33
30775.43,3785.38
31029.31,3818.83
30946.99,3821.55
31438.26,3900.11
31500.68,3911.74
30677.36,3795.73
30483.13,3759.89
30530.25,3764.79
29888.78,3674.84
29927.07,3666.77
30668.53,3789.99
30364.83,3735.48
30516.74,3749.63
31392.79,3900.86
32272.79,4017.82
32910.9,4115.77
33180.14,4160.68
32915.78,4121.43
32899.7,4108.54
33248.28,4176.82
32813.23,4101.23
32990.12,4132.15
33212.96,4158.24
32637.19,4057.84
32120.28,3978.73
31928.62,3941.48
31880.24,3973.75
31261.9,3901.36
31253.13,3900.79
31490.07,3923.68
32654.59,4088.85
32223.42,4008.01
32196.66,4023.89
31730.3,3930.08
31834.11,3935.18
32160.74,4001.05
32245.7,3991.24
32899.37,4123.34
32997.97,4146.87
34061.06,4300.17
33128.79,4175.48
33061.5,4155.38
32977.21,4131.93
33916.39,4287.5
33301.93,4183.96
33240.18,4175.2
34049.46,4296.12
33811.4,4271.78
34792.76,4393.66
35160.79,4459.45
34911.2,4462.21
34411.69,4391.69
34451.23,4392.59
34564.59,4446.59
34220.36,4397.45
34308.08,4412.53
34721.12,4488.28
34583.57,4500.21
34496.51,4481.15
34641.18,4525.12
34921.88,4582.64
34818.27,4545.86
34678.35,4530.41
35228.81,4602.45
35294.19,4631.6
34955.89,4575.52
34861.24,4543.06
34707.94,4520.16
34358.5,4456.24
34807.46,4511.61
34552.99,4461.18
34754.93,4463.12
34480.76,4411.67
34063.1,4357.86
33544.34,4262.45
32945.24,4173.11
32944.19,4204.31
33174.07,4259.52
33286.25,4277.88
32632.64,4170.7
32817.38,4201.09
33614.8,4328.87
33794.66,4363.49
33891.35,4386.54
33294.95,4306.26
33892.6,4373.94
34058.75,4384.65
33223.83,4288.7
33131.76,4225.5
33596.61,4304.76
34079.18,4348.87
34312.03,4380.26
34934.27,4475.01
34988.84,4471.07
34566.17,4401.67
34738.06,4418.64
35241.59,4504.08
35768.06,4587.18
35462.78,4521.54
35091.13,4483.87
35089.74,4500.53
35111.16,4477.44
35629.33,4589.38
35405.24,4546.54
35131.86,4515.55
34725.47,4431.85
