DJI,SnP
441260000.0,3907760000.0
327000000.0,3809590000.0
341720000.0,3724020000.0
299310000.0,3320430000.0
355220000.0,3945210000.0
367330000.0,4013360000.0
319770000.0,3991500000.0
351670000.0,4298710000.0
353050000.0,4235560000.0
274110000.0,3939700000.0
308190000.0,4440260000.0
301650000.0,4303360000.0
268260000.0,3851030000.0
327840000.0,4311770000.0
360740000.0,3923560000.0
337920000.0,3893450000.0
379400000.0,4414080000.0
355930000.0,3959140000.0
295500000.0,2979870000.0
243060000.0,3003680000.0
252260000.0,3083520000.0
246010000.0,3030300000.0
221050000.0,2819280000.0
340640000.0,3956950000.0
328020000.0,3775200000.0
303970000.0,3985370000.0
326430000.0,3969610000.0
756310000.0,7493660000.0
394290000.0,4493900000.0
339090000.0,4472340000.0
44265140000.0,5079360000.0
313440000.0,3904130000.0
287630000.0,3888260000.0
271830000.0,4006900000.0
359980000.0,4118050000.0
306220000.0,4368380000.0
312960000.0,4280820000.0
290580000.0,4012620000.0
348720000.0,4527130000.0
524440000.0,6579360000.0
279750000.0,3546040000.0
300330000.0,3615430000.0
131660000.0,1706460000.0
236820000.0,3279720000.0
277070000.0,3887990000.0
352960000.0,3850690000.0
312950000.0,4037360000.0
319210000.0,4051780000.0
301560000.0,4165320000.0
390610000.0,5015310000.0
354340000.0,4561930000.0
427790000.0,5593310000.0
480130000.0,5781260000.0
355200000.0,4645010000.0
335340000.0,4607640000.0
336300000.0,4341620000.0
422370000.0,5400180000.0
354440000.0,4625290000.0
398430000.0,4899000000.0
323210000.0,4481210000.0
390890000.0,4820620000.0
495830000.0,4459410000.0
375720000.0,4687320000.0
430400000.0,4817310000.0
336930000.0,4843120000.0
345040000.0,4747930000.0
418190000.0,5078020000.0
333190000.0,4496620000.0
314030000.0,4223800000.0
387130000.0,4483740000.0
369820000.0,4352780000.0
379090000.0,4243030000.0
470260000.0,5021680000.0
304420000.0,4006830000.0
352920000.0,4759030000.0
315410000.0,3834320000.0
367950000.0,4449660000.0
306840000.0,4252100000.0
290610000.0,4293180000.0
375640000.0,5146580000.0
397830000.0,4806680000.0
464260000.0,5645360000.0
388820000.0,4681810000.0
436040000.0,4684850000.0
355460000.0,4577740000.0
369450000.0,4886140000.0
388200000.0,5144270000.0
335270000.0,4284600000.0
354960000.0,4078330000.0
317970000.0,4058050000.0
291200000.0,3766850000.0
627920000.0,7954650000.0
345500000.0,4441830000.0
348670000.0,4293240000.0
428930000.0,4224550000.0
339250000.0,3814200000.0
310980000.0,3901940000.0
344340000.0,3966850000.0
345080000.0,3890320000.0
347320000.0,4127340000.0
306180000.0,3665850000.0
339360000.0,4152250000.0
392780000.0,4542490000.0
317150000.0,3835860000.0
317820000.0,3396510000.0
352850000.0,3832750000.0
308530000.0,3566870000.0
256900000.0,3583630000.0
251870000.0,3823520000.0
308900000.0,3907430000.0
293990000.0,3761340000.0
282550000.0,3340330000.0
281390000.0,3885030000.0
288670000.0,4329820000.0
262670000.0,3696830000.0
299140000.0,3788010000.0
308030000.0,4630200000.0
311740000.0,4546010000.0
281080000.0,3913090000.0
275350000.0,4221090000.0
273010000.0,4085940000.0
315590000.0,4283320000.0
342160000.0,4351760000.0
316740000.0,4727710000.0
321180000.0,4202810000.0
487360000.0,4616360000.0
331110000.0,4413000000.0
365480000.0,4112180000.0
324930000.0,3778950000.0
255450000.0,3568340000.0
319880000.0,3979240000.0
302320000.0,4132790000.0
313520000.0,4185300000.0
378720000.0,4041070000.0
309960000.0,4046870000.0
321570000.0,4143800000.0
325130000.0,4199690000.0
291830000.0,4109390000.0
324190000.0,3817210000.0
245020000.0,3423480000.0
238120000.0,3521620000.0
296620000.0,4057770000.0
289800000.0,4417720000.0
323080000.0,5076590000.0
310440000.0,4046950000.0
394070000.0,4840070000.0
269390000.0,4211240000.0
350780000.0,4270120000.0
309910000.0,4325310000.0
465480000.0,8120260000.0
361420000.0,5098640000.0
343490000.0,5058990000.0
376900000.0,5292260000.0
692830000.0,8520740000.0
442910000.0,5644930000.0
392670000.0,5530480000.0
366800000.0,5153890000.0
472290000.0,5636890000.0
362300000.0,4889640000.0
289710000.0,4134170000.0
270470000.0,4159470000.0
270750000.0,4248210000.0
253010000.0,4332700000.0
298570000.0,3711110000.0
333210000.0,4405790000.0
338210000.0,4531800000.0
533560000.0,6822640000.0
328770000.0,4375620000.0
351220000.0,4709970000.0
343460000.0,4802560000.0
382950000.0,4923190000.0
402010000.0,4420030000.0
495510000.0,5130730000.0
517190000.0,5113550000.0
465060000.0,5103220000.0
389310000.0,4841410000.0
330030000.0,4415030000.0
388520000.0,5183340000.0
544240000.0,6286450000.0
458460000.0,5816140000.0
439290000.0,5885820000.0
470770000.0,5954520000.0
416520000.0,5116940000.0
448420000.0,5077030000.0
411060000.0,5136360000.0
364420000.0,4582050000.0
453390000.0,5163790000.0
501560000.0,5084030000.0
440380000.0,4854180000.0
447230000.0,4769680000.0
400020000.0,4689970000.0
416900000.0,5240040000.0
373280000.0,4651940000.0
366390000.0,4636890000.0
337620000.0,4290450000.0
