AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,TRV,UNH,V,VZ,WBA,WMT
173.771469,220.185318,177.348404,200.240005,196.947128,232.630005,53.863472,126.763741,142.970001,56.84193,345.563019,357.973907,200.335999,127.258667,46.956291,167.879196,143.854126,59.256863,253.76651,159.266953,78.94236,308.093109,146.496033,162.697205,466.594452,224.472,50.284931,47.559608,137.646301
173.602448,221.678162,181.017258,208.339996,200.650421,232.119995,53.5732,130.103439,144.490005,58.821365,354.701904,359.651672,201.178574,129.126038,47.081329,166.505295,146.322678,58.819798,253.316589,160.619583,79.368645,305.893738,146.64444,164.469284,462.487061,230.615524,50.256592,47.550053,138.729279
174.825348,221.920502,181.628754,207.520004,200.249786,225.009995,54.34724,130.701904,142.619995,58.678612,353.7276,364.558228,203.343796,130.764771,47.619946,168.346924,145.151337,59.421982,256.534515,159.880936,79.455841,310.550049,147.129257,169.100128,473.713287,233.652557,50.823395,48.18087,138.670212
171.902313,217.180222,181.510376,206.389999,195.999329,212.770004,53.408722,129.533966,140.029999,58.25037,349.65506,355.857117,187.854202,131.26973,46.436905,168.337173,143.950912,59.839622,254.930466,157.703247,76.549278,298.45343,143.765366,168.463776,482.5896,229.801666,50.81395,47.311104,138.808044
171.613632,215.309326,183.295532,206.449997,193.869247,219.229996,53.360344,131.155533,142.020004,57.669865,358.150909,350.843262,187.619064,130.669495,46.528973,167.236115,147.687653,59.208305,254.363144,154.192108,76.113297,303.099915,143.844513,168.297318,477.060425,226.675323,50.360504,46.450905,137.173737
170.886917,216.685822,185.287735,211.919998,195.246964,216.970001,53.379692,133.732712,142.509995,57.013229,358.686768,348.5802,188.579178,130.755249,46.693733,166.680695,148.181366,59.82991,254.157745,154.614227,75.163826,298.15625,143.597183,167.739273,477.58371,225.454575,50.067654,46.919235,135.824951
174.042633,233.63063,191.333481,213.270004,196.888519,217.429993,53.544178,131.696075,142.479996,58.136173,360.586639,352.569824,190.617035,130.545639,47.304298,167.119171,150.969376,60.218418,254.382706,155.803787,74.514687,301.732697,142.004318,168.884766,487.170929,226.228699,49.897614,47.588287,135.854477
175.486099,229.927612,193.7005,215.860001,198.94046,222.039993,54.463352,132.999115,147.229996,58.992661,364.902771,355.427948,192.635284,131.279236,48.370365,167.099701,151.598633,59.286003,254.167526,156.983749,74.146515,308.320984,144.705261,169.10994,491.801636,229.136688,50.539989,47.779442,135.559097
171.344833,221.813889,192.822723,218.75,198.422577,217.669998,53.089428,131.309967,152.160004,58.002945,361.044586,346.375671,187.863998,128.743332,47.352757,165.082672,150.969376,59.616234,251.243042,153.242401,74.175583,299.572968,143.280609,168.816208,480.565521,224.26062,50.105442,47.043488,133.974014
167.880524,221.21286,189.173584,212.300003,196.634476,207.899994,52.150906,133.983658,149.470001,58.136173,353.7276,341.693481,183.20047,127.943031,46.160698,163.416473,149.004211,58.557556,249.570511,153.050522,74.25309,292.301086,138.689896,168.160248,472.084137,223.365921,50.369949,46.546482,133.235626
