AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,TRV,UNH,V,VZ,WBA,WMT
115541600,4504300,5524300,15504600,6179000,7084200,29925300,16401800,10185500,8056100,3312400,4084600,3297800,5859000,51828400,8054800,13985700,22045300,3174200,5090400,13035000,46444500,6932200,1404100,3500500,12380600,25182400,10731000,6731200
86213900,2498200,3471200,12265100,4026400,6387100,22438500,16169700,8573300,6659400,3303700,3406800,3053300,6206400,35386100,8154700,14584900,20841700,2496500,2987900,10803300,40950400,6695000,1290300,3148600,12247200,33045600,6054500,6774400
84914300,2397800,2841400,7843700,3492300,9378900,23316700,10906700,9529900,5463400,2742400,3839300,2835900,5357200,37962700,7382800,12441100,20225600,2371500,3191300,13988200,36636000,5491700,1827600,3026800,10590500,24160200,5927300,6049900
89418100,3002400,3380900,7054700,2748200,12826600,19260500,9447700,9820600,5363800,2372900,4009700,8679900,6100800,42145800,6240400,12474900,19440500,2242200,2608700,19181400,43730000,5240200,1280200,4370900,9968000,21219800,5413300,6913700
82465400,3162000,4075800,5952600,3930800,6176500,19675900,13034700,8061100,4995100,3762300,3728100,5479900,4142000,32431500,6392200,16654400,17403700,1989700,4046500,10716200,35096500,4313400,1615900,3066400,10848100,16199800,6438200,7345500
77251200,3596400,3260800,11816900,2402000,3922300,14450200,18422500,10937500,6214400,2635600,2809300,3457800,3759000,27558500,6065700,12572300,17846400,1959300,2441100,23615300,28533300,3877500,1635000,2937200,5984500,15438900,5010200,6670100
74829200,8394800,5133900,7356200,2407100,5628700,15219900,11021600,9231700,5595500,3422300,3225100,2735800,4181800,28051200,6296100,20411400,18771700,2920000,2373900,17486500,32421200,5829400,2331500,3534700,7542000,13911700,7479600,6486300
71285000,5075200,4614200,7587700,2743700,6107700,19136700,10140800,22877400,5515900,2250400,2777500,3210500,5393500,35217300,5387500,9131100,23595600,2379300,2143600,15183100,31284700,4551000,1512500,2818100,7772800,16449300,10266500,7157900
90865900,5035000,4511100,11695900,3538500,5312600,19730600,11012700,42500300,6537200,2406200,4291800,3659600,5978600,32762700,10355300,16455600,23561500,3246600,3633200,12437600,45386200,5142600,1587100,2626100,6794600,18644400,7382600,9270200
98670700,3557700,4834900,11443700,3826700,8165600,20132500,12821200,17975200,6042100,3142100,3308700,5323500,4176200,37208200,13125300,16830000,22781400,3592700,3632700,9342300,39175600,6710500,1460300,2493800,7535200,18833100,7927400,7911100
86185500,3931500,3841300,6481400,2730500,7005900,21868400,15945000,14694700,4472000,2585600,3654300,3156800,5345300,28456900,8967600,17026500,23641300,2825800,4634400,9881100,36359500,6841200,1673400,2549500,8280800,16081700,6819700,9787800
62527400,2474500,4134300,10448500,2752600,6353000,17678000,11746800,12726000,4076800,1846400,3552500,2828500,4394000,35837900,6631400,9500000,13408700,2171500,3335800,11425600,27058300,7820200,1174800,3001000,9461700,12824100,5060800,7274800
61177400,2369000,4122600,5698900,2253900,7072700,20388700,11348800,10656400,5613600,2165300,3594900,3085600,4875600,26022900,8482400,9076500,15484700,2941800,4470000,9981300,29982100,4817500,1224600,2651800,9561300,17277700,4655400,9496900
69589300,2157000,3051700,6176600,4699600,8820100,32884700,10073900,8110300,3927800,3102400,3927000,3075900,6797000,32030600,6227600,11367500,21468700,2831900,6207700,8889300,32461600,5202300,1126400,2403100,8131200,17462500,4414800,17943800
82772700,2795800,2806300,6973600,4385200,6691800,35626200,10691800,10785500,5078900,2910900,5526100,5038400,4609200,76520100,6423200,11733300,21975000,2813500,5018800,8780500,34264000,5177400,1166400,2992300,8121200,20298500,4599100,10367800
91162800,2835900,3420600,10382100,3488000,8434800,25188300,19428700,12227200,5664000,2590800,19752800,4008000,5349700,57093300,6868900,11333500,21731400,3980500,4509100,9052500,41736100,9604500,1835900,3029800,9928800,19858400,7622900,8460300
90009200,2994800,3562100,7326300,3550400,7784300,22033700,16134200,9300700,5155100,2217300,11026000,3582400,4086400,38176700,8016900,11799000,19248500,3497200,3846600,9659100,37811200,7636600,1374100,2840300,8669900,17841900,5040400,7010300
141147500,3746700,5886600,12207600,5919500,11792600,27739300,22108900,12475500,8108500,4564000,8416700,5899700,6563200,72740100,12883400,25655100,27207400,4856000,6107100,21135600,56989700,8417200,2460900,3933000,13463400,30079700,8433700,10572500
91974200,3557100,5426200,8730300,3594600,5853600,18963700,28028000,10149500,5445200,2980500,6510600,5001000,4460900,39266300,11340400,18367700,21487800,4549700,6732700,13665900,32546700,5424500,1508100,3314400,8463600,31444200,5700000,8332600
95056600,4738100,5787800,9859300,5168500,7904700,23868700,24394300,10834700,6438200,4245700,5735100,4111100,6757300,41946100,9373500,31315300,25879100,4410400,4215300,14126100,34627500,6613300,1866600,3918300,8409400,30593900,7033000,8762200
83474400,4573500,8562500,11799500,5110600,12587300,17799600,31159900,8944000,7668100,5631500,5640900,5463000,4873300,53853000,8737800,36840400,15871100,3910700,3313900,9807300,31217800,6534000,1677800,2917600,9317800,24693100,5292000,8008300
79724800,3387200,4058800,7463400,5849900,16670100,18660000,31329500,7851000,6499800,3469900,5645600,5340700,4891400,46936500,6793300,19405600,17319100,4482000,3734600,9697500,31873000,7743900,1441700,3675900,8865700,20712900,6247200,7954600
76678400,3638400,3339900,12424500,4429700,6559900,16794600,22492900,8048400,4514800,2393700,3858400,5022900,5206600,36389900,7333700,16640800,21262800,4707400,3804200,8191100,27314500,4576500,1170900,3139400,8610000,27577700,7234300,9961700
83737200,3764400,5348600,13084000,4334700,6813600,16729000,29034400,12913000,5869500,3293100,3630900,5062000,4402400,38310700,6302500,21016000,17163000,4184100,3235200,12216300,32356500,7084500,1156800,4170100,10912300,26913800,9597600,11858800
